Order Number,Order Type,Asset Type,Fiat Type,Total Price,Price,Quantity,Exchange rate,Couterparty,Status,Created Time
20475499804580716544,Buy,BUSD,USD,2465.6000000000000000,0.9740000000000000,2531.4269200600000000,1.00,,Completed,2023-04-01 15:13:11
20475526497961844736,Buy,USDT,USD,1000.0000000000000000,1.0000000000000000,1000.0000000000000000,1.00,Unoventure,Completed,2023-04-01 16:59:16
20476959954794676224,Buy,USDT,USD,1300.0100000000000000,1.0000000000000000,1300.0100000000000000,1.00,,Completed,2023-04-05 15:55:18
20476961903527088128,Buy,USDT,USD,1000.0000000000000000,1.0000000000000000,1000.0000000000000000,1.00,NastenaArg,Completed,2023-04-05 16:03:03
20476965761371811840,Buy,USDT,USD,1045.0000000000000000,1.0000000000000000,1045.0000000000000000,1.00,,Completed,2023-04-05 16:18:23
20478044755178921984,Buy,USDT,USD,100.0000000000000000,0.9700000000000000,103.0900000000000000,1.00,,Completed,2023-04-08 15:45:55
20478792070797312000,Buy,USDT,USD,5000.0000000000000000,0.9670000000000000,5170.6300000000000000,1.00,,Completed,2023-04-10 17:15:29
20479125714296991744,Buy,USDT,USD,4498.0000000000000000,0.9800000000000000,4589.7900000000000000,1.00,,Completed,2023-04-11 15:21:16
20479144342464212992,Buy,USDT,USD,3350.9000000000000000,0.9670000000000000,3465.2500000000000000,1.00,,Completed,2023-04-11 16:35:17
20481296968749494272,Sell,USDT,USD,337.5000000000000000,1.0000000000000000,337.5000000000000000,,julio_cesarbr,Completed,2023-04-17 15:09:03
20481331772893515776,Sell,USDT,USD,289.0600000000000000,1.0000000000000000,289.0600000000000000,,julio_cesarbr,Completed,2023-04-17 17:27:21
20484319210270941184,Sell,USDT,USD,548.0000000000000000,1.0000000000000000,548.0000000000000000,,CriptomonedasUruguay,Completed,2023-04-25 23:18:22
20484321785340248064,Buy,USDT,USD,1500.0000000000000000,1.0000000000000000,1500.0000000000000000,1.00,SOLU-FINANCIERAS-SF,Completed,2023-04-25 23:28:36
20484322738930507776,Buy,USDT,USD,1500.0000000000000000,1.0000000000000000,1500.0000000000000000,1.00,SOLU-FINANCIERAS-SF,Completed,2023-04-25 23:32:23
20484352518603685888,Buy,USDT,USD,1730.1000000000000000,0.9900000000000000,1747.5800000000000000,1.00,Criptobuy,Completed,2023-04-26 01:30:43
20485759138233217024,Sell,USDT,USD,116.3200000000000000,1.0000000000000000,116.3200000000000000,1.00,niresvicente,Completed,2023-04-29 22:40:07
20485766802453454848,Sell,USDT,USD,100.0000000000000000,1.0670000000000000,93.7200000000000000,,,Completed,2023-04-29 23:10:34
20485789796297486336,Buy,USDT,USD,131.7200000000000000,0.9880000000000000,133.3100000000000000,1.00,JorgePerozo,Completed,2023-04-30 00:41:57
20485998390380593152,Buy,USDT,USD,200.0000000000000000,0.9880000000000000,202.4200000000000000,1.00,,Completed,2023-04-30 14:30:49
20487160339933241344,Sell,USDT,USD,2000.0000000000000000,1.0650000000000000,1877.9300000000000000,,puppet02,Completed,2023-05-03 19:28:00
20487203112499568640,Sell,USDT,USD,550.0000000000000000,1.0500000000000000,523.8000000000000000,,,Completed,2023-05-03 22:17:57
20487440091607941120,Sell,USDT,USD,150.0000000000000000,1.0600000000000000,141.5000000000000000,,,Completed,2023-05-04 13:59:38
20487441841395597312,Sell,USDT,USD,150.0000000000000000,1.0600000000000000,141.5000000000000000,,,Completed,2023-05-04 14:06:35
20487449365865361408,Sell,USDT,USD,1050.0000000000000000,1.0500000000000000,1000.0000000000000000,,,Completed,2023-05-04 14:36:29
20487487209842737152,Sell,USDT,USD,500.0000000000000000,1.0450000000000000,478.4600000000000000,,Elbotta,Completed,2023-05-04 17:06:51
20487488528457203712,Buy,USDT,USD,145.8300000000000000,1.0000000000000000,145.8300000000000000,1.00,,Completed,2023-05-04 17:12:06
20487502012406824960,Sell,USDT,USD,300.0000000000000000,1.0450000000000000,287.0800000000000000,,Layer Coin,Completed,2023-05-04 18:05:41
20487587915217231872,Buy,USDT,USD,681.0000000000000000,1.0000000000000000,681.0000000000000000,1.00,,Completed,2023-05-04 23:47:02
20487592987386462208,Buy,USDT,USD,1943.5900000000000000,1.0000000000000000,1943.5900000000000000,1.00,exangefast,Completed,2023-05-05 00:07:11
20487635138524987392,Sell,USDT,USD,1065.0000000000000000,1.0650000000000000,1000.0000000000000000,,,Completed,2023-05-05 02:54:40
20487797925541748736,Buy,USDT,USD,2000.0000000000000000,1.0000000000000000,2000.0000000000000000,1.00,royleblanc,Completed,2023-05-05 13:41:32
20487812080647598080,Sell,USDT,USD,200.0000000000000000,1.0400000000000000,192.3000000000000000,,,Completed,2023-05-05 14:37:47
20487826007678132224,Sell,USDT,USD,100.3900000000000000,0.9990000000000000,100.5000000000000000,1.00,niresvicente,Completed,2023-05-05 15:33:07
20487839778227011584,Buy,USDT,USD,115.7900000000000000,0.9810000000000000,118.0300000000000000,1.00,ner1922,Completed,2023-05-05 16:27:50
20487855415183052800,Sell,USDT,USD,400.0000000000000000,1.0650000000000000,375.5800000000000000,,,Completed,2023-05-05 17:29:59
20487891501042032640,Sell,USDT,USD,2000.0000000000000000,1.0650000000000000,1877.9300000000000000,,,Completed,2023-05-05 19:53:22
20488221395040796672,Sell,USDT,USD,400.0000000000000000,1.0590000000000000,377.7100000000000000,,,Completed,2023-05-06 17:44:15
20488250422271074304,Sell,USDT,USD,200.0000000000000000,1.0500000000000000,190.4700000000000000,,,Completed,2023-05-06 19:39:35
